epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,3.7446923670358956e-05,,,,,
0,,99,,3.3371041354257613e-05,,,,,
0,,149,,1.909104139485862e-05,,,,,
0,,199,,4.268825796316378e-05,,,,,
0,,249,,3.622387885116041e-05,,,,,
0,,299,,2.3823700757930055e-05,,,,,
0,,349,,4.822375194635242e-05,,,,,
0,,399,,3.7936577427899465e-05,,,,,
0,,449,,2.1060090148239397e-05,,,,,
0,,499,,4.897739927400835e-05,,,,,
0,,549,,3.038300565094687e-05,,,,,
0,,599,,3.5385313822189346e-05,,,,,
0,,649,,2.7145193598698825e-05,,,,,
0,,699,,1.4188427485350985e-05,,,,,
0,,749,,1.6215271898545325e-05,,,,,
0,,799,,1.2015089851047378e-05,,,,,
0,,849,,1.6721218344173394e-05,,,,,
0,,899,,3.688131982926279e-05,,,,,
0,,949,,2.518244036764372e-05,,,,,
0,,999,,1.746927409840282e-05,,,,,
0,,1049,,1.880566924228333e-05,,,,,
0,,1099,,2.517181565053761e-05,,,,,
0,,1149,,1.604308454261627e-05,,,,,
0,,1199,,2.0598081391653977e-05,,,,,
0,,1249,,1.3181708709453233e-05,,,,,
0,,1299,,7.558026845799759e-05,,,,,
0,,1349,,1.1528672075655777e-05,,,,,
0,,1399,,2.1459069103002548e-05,,,,,
0,,1449,,9.209530981024727e-05,,,,,
0,,1499,,4.494837412494235e-05,,,,,
0,,1549,,1.5302823157981038e-05,,,,,
0,,1599,,2.5056204322027043e-05,,,,,
0,,1649,,1.7422238670405932e-05,,,,,
0,,1699,,3.8955487980274484e-05,,,,,
0,,1749,,2.3547792807221413e-05,,,,,
0,,1799,,1.6121277440106496e-05,,,,,
0,,1849,,5.9865218645427376e-05,,,,,
0,,1899,,8.728040847927332e-05,,,,,
0,,1949,,2.340567698411178e-05,,,,,
0,,1999,,2.23966362682404e-05,,,,,
0,,2049,,9.792534001462627e-06,,,,,
0,,2099,,2.2875414288137108e-05,,,,,
0,,2149,,1.243937003891915e-05,,,,,
0,,2199,,2.8020445824950002e-05,,,,,
0,,2249,,1.38316509037395e-05,,,,,
0,,2299,,8.537925168639049e-06,,,,,
0,,2349,,2.4184128051274456e-05,,,,,
0,,2399,,9.194049198413268e-06,,,,,
0,,2449,,1.809020795917604e-05,,,,,
0,,2499,,1.2574526408570819e-05,,,,,
0,,2549,,1.2381690794427413e-05,,,,,
0,,2599,,2.258685890410561e-05,,,,,
0,,2649,,2.2026111764716916e-05,,,,,
0,,2699,,9.879900062514935e-06,,,,,
0,,2749,,1.6920739653869532e-05,,,,,
0,,2799,,1.3343537830223795e-05,,,,,
0,,2849,,2.1456553440657444e-05,,,,,
0,,2899,,1.8481847291695885e-05,,,,,
0,,2949,,1.806252657843288e-05,,,,,
0,,2999,,1.6754449461586773e-05,,,,,
0,,3049,,1.6953761587501504e-05,,,,,
0,,3099,,1.3315307114680763e-05,,,,,
0,,3149,,1.0910008313658182e-05,,,,,
0,,3199,,2.1050567738711834e-05,,,,,
0,,3249,,2.2639744202024303e-05,,,,,
0,,3299,,2.3835391402826644e-05,,,,,
0,,3349,,1.550822526041884e-05,,,,,
0,,3399,,2.3271324607776478e-05,,,,,
0,,3449,,1.120947581512155e-05,,,,,
0,,3499,,6.574441613338422e-06,,,,,
0,,3549,,4.269357305020094e-06,,,,,
0,,3599,,1.666171920078341e-05,,,,,
0,,3649,,1.6569230865570717e-05,,,,,
0,,3699,,3.970223042415455e-05,,,,,
0,,3749,,1.812375194276683e-05,,,,,
0,,3799,,2.036599653365556e-05,,,,,
0,,3849,,1.5029284440970514e-05,,,,,
0,,3899,,1.788904774002731e-05,,,,,
0,,3919,,,0.9822683334350586,96924928.0,1.0214241743087769,2.0,0.00046063121408224106
0,,3919,2.8288070097914897e-05,,,,,,
,0.001,3920,,,,,,,
1,,3949,,5.447748117148876e-05,,,,,
1,,3999,,1.600428186065983e-05,,,,,
