epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,4.9854246753966436e-05,,,,,
0,,99,,5.6626664445502684e-05,,,,,
0,,149,,3.1193394534057006e-05,,,,,
0,,199,,6.420526187866926e-05,,,,,
0,,249,,4.9442402087152004e-05,,,,,
0,,299,,4.221418930683285e-05,,,,,
0,,349,,8.131263894028962e-05,,,,,
0,,399,,3.6816447391174734e-05,,,,,
0,,449,,7.63622738304548e-05,,,,,
0,,499,,5.57224775548093e-05,,,,,
0,,549,,0.00011383951641619205,,,,,
0,,599,,4.845070725423284e-05,,,,,
0,,649,,4.63471187686082e-05,,,,,
0,,699,,3.132734855171293e-05,,,,,
0,,749,,4.099206125829369e-05,,,,,
0,,799,,4.3887612264370546e-05,,,,,
0,,849,,2.9486845960491337e-05,,,,,
0,,899,,2.4266078980872408e-05,,,,,
0,,949,,3.5211676731705666e-05,,,,,
0,,999,,3.3049782359739766e-05,,,,,
0,,1049,,7.381955219898373e-05,,,,,
0,,1099,,7.613022899022326e-05,,,,,
0,,1149,,0.00013030733680352569,,,,,
0,,1199,,3.85301755159162e-05,,,,,
0,,1249,,4.087382694706321e-05,,,,,
0,,1299,,2.6521829568082467e-05,,,,,
0,,1349,,2.6558034733170643e-05,,,,,
0,,1399,,3.06183283100836e-05,,,,,
0,,1449,,5.386896737036295e-05,,,,,
0,,1499,,3.063537587877363e-05,,,,,
0,,1549,,0.00010060307249659672,,,,,
0,,1599,,2.9536558940890245e-05,,,,,
0,,1649,,4.3309959437465295e-05,,,,,
0,,1699,,2.118770862580277e-05,,,,,
0,,1749,,2.347848567296751e-05,,,,,
0,,1799,,2.5472496417933144e-05,,,,,
0,,1849,,2.6708850782597438e-05,,,,,
0,,1899,,2.682440390344709e-05,,,,,
0,,1949,,3.1529889383818954e-05,,,,,
0,,1999,,3.10458053718321e-05,,,,,
0,,2049,,4.4212534703547135e-05,,,,,
0,,2099,,1.6783787941676565e-05,,,,,
0,,2149,,3.504572669044137e-05,,,,,
0,,2199,,2.5188926883856766e-05,,,,,
0,,2249,,3.599173214752227e-05,,,,,
0,,2299,,6.845701864222065e-05,,,,,
