epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,6.65445186314173e-05,,,,,
0,,99,,6.212661537574604e-05,,,,,
0,,149,,0.0001016281676129438,,,,,
0,,199,,1.6081872672657482e-05,,,,,
0,,249,,3.4538719773991033e-05,,,,,
0,,299,,7.773694960633293e-05,,,,,
0,,349,,3.2271924283122644e-05,,,,,
0,,399,,2.2374251784640364e-05,,,,,
0,,449,,5.463425986818038e-05,,,,,
0,,499,,8.439164230367169e-05,,,,,
0,,549,,3.0154395062709227e-05,,,,,
0,,599,,9.609134576749057e-05,,,,,
0,,649,,2.731324093474541e-05,,,,,
0,,699,,4.69916412839666e-05,,,,,
0,,749,,3.102621849393472e-05,,,,,
0,,799,,7.265175372594967e-05,,,,,
0,,849,,4.2266496166121215e-05,,,,,
0,,899,,3.747444861801341e-05,,,,,
0,,949,,7.056698814267293e-05,,,,,
0,,999,,3.669730358524248e-05,,,,,
0,,1049,,2.9073262339807115e-05,,,,,
0,,1099,,3.9713355363346636e-05,,,,,
0,,1149,,5.208945367485285e-05,,,,,
0,,1199,,1.7823113012127578e-05,,,,,
0,,1249,,2.1801806724397466e-05,,,,,
0,,1299,,2.963613223982975e-05,,,,,
0,,1349,,6.848889461252838e-05,,,,,
0,,1399,,8.039456588448957e-05,,,,,
0,,1449,,2.483607931935694e-05,,,,,
0,,1499,,6.954767013667151e-05,,,,,
0,,1549,,3.2630454370519146e-05,,,,,
0,,1599,,1.8879856725106947e-05,,,,,
0,,1649,,3.143409048789181e-05,,,,,
0,,1699,,3.366360760992393e-05,,,,,
0,,1749,,3.81458448828198e-05,,,,,
0,,1799,,6.354600191116333e-05,,,,,
0,,1849,,3.5773595300270244e-05,,,,,
0,,1899,,3.667278724606149e-05,,,,,
0,,1949,,3.0536324629792944e-05,,,,,
0,,1999,,1.1277008525212295e-05,,,,,
0,,2049,,3.3060452551580966e-05,,,,,
0,,2099,,2.0816956748603843e-05,,,,,
0,,2149,,2.8138123525422998e-05,,,,,
0,,2199,,2.1420675693661906e-05,,,,,
0,,2249,,4.629980321624316e-05,,,,,
0,,2299,,2.5390983864781447e-05,,,,,
0,,2349,,3.887048296746798e-05,,,,,
0,,2399,,4.019866537419148e-05,,,,,
0,,2449,,3.744728019228205e-05,,,,,
0,,2499,,1.78787322511198e-05,,,,,
0,,2549,,2.0637538909795694e-05,,,,,
0,,2599,,2.7458316253614612e-05,,,,,
0,,2649,,3.864468089886941e-05,,,,,
0,,2699,,1.7260457752854563e-05,,,,,
0,,2749,,3.3438074751757085e-05,,,,,
0,,2799,,1.9716075257747434e-05,,,,,
0,,2849,,2.6959494789480232e-05,,,,,
0,,2899,,2.142407902283594e-05,,,,,
0,,2949,,2.5914623620337807e-05,,,,,
0,,2999,,3.773002026719041e-05,,,,,
0,,3049,,2.396661693637725e-05,,,,,
0,,3099,,5.863823025720194e-05,,,,,
0,,3149,,2.3374428565148264e-05,,,,,
0,,3199,,3.080359238083474e-05,,,,,
0,,3249,,0.00018354158964939415,,,,,
0,,3299,,1.9952292859670706e-05,,,,,
0,,3349,,3.0533607059624046e-05,,,,,
0,,3399,,3.236430711694993e-05,,,,,
0,,3449,,1.351441187580349e-05,,,,,
0,,3499,,2.9681350497412495e-05,,,,,
0,,3549,,3.129495235043578e-05,,,,,
0,,3599,,7.995079067768529e-05,,,,,
0,,3649,,2.4024571757763624e-05,,,,,
0,,3699,,3.309679959784262e-05,,,,,
0,,3749,,3.517671939334832e-05,,,,,
0,,3799,,6.378335820045322e-05,,,,,
0,,3849,,1.6357313143089414e-05,,,,,
0,,3899,,7.185953290900216e-05,,,,,
0,,3919,,,1.0282397270202637,101387648.0,1.0611300468444824,2.0,0.000944335653912276
0,,3919,4.764679761137813e-05,,,,,,
,0.001,3920,,,,,,,
1,,3949,,2.3339047402259894e-05,,,,,
1,,3999,,1.3223096175352111e-05,,,,,
1,,4049,,2.4265047613880597e-05,,,,,
1,,4099,,4.519579670159146e-05,,,,,
1,,4149,,1.765470369718969e-05,,,,,
1,,4199,,2.23748847929528e-05,,,,,
1,,4249,,1.6778931239969097e-05,,,,,
1,,4299,,0.00010269516496919096,,,,,
1,,4349,,2.3157645046012476e-05,,,,,
1,,4399,,2.585286165412981e-05,,,,,
1,,4449,,7.326875220314832e-06,,,,,
1,,4499,,4.5905064325779676e-05,,,,,
1,,4549,,3.5939952795160934e-05,,,,,
1,,4599,,3.609238410717808e-05,,,,,
1,,4649,,4.2953277443302795e-05,,,,,
1,,4699,,2.882341323129367e-05,,,,,
1,,4749,,1.45784106280189e-05,,,,,
1,,4799,,9.880496691039298e-06,,,,,
1,,4849,,1.4298982023319695e-05,,,,,
1,,4899,,3.689208460855298e-05,,,,,
1,,4949,,2.6390696802991442e-05,,,,,
1,,4999,,1.567436811455991e-05,,,,,
1,,5049,,1.0926378308795393e-05,,,,,
1,,5099,,1.1000621270795818e-05,,,,,
1,,5149,,3.858459967887029e-05,,,,,
1,,5199,,2.1764666598755866e-05,,,,,
1,,5249,,3.55130759999156e-05,,,,,
1,,5299,,1.9020269974134862e-05,,,,,
1,,5349,,2.8807098715333268e-05,,,,,
1,,5399,,1.4876823115628213e-05,,,,,
1,,5449,,1.7445698176743463e-05,,,,,
1,,5499,,1.8546863429946825e-05,,,,,
1,,5549,,1.179546416096855e-05,,,,,
1,,5599,,3.690695302793756e-05,,,,,
