epoch,lr-Adam,step,train_loss_step
,0.001,0,
0,,49,5.5600623454665765e-05
0,,99,4.518802961683832e-05
0,,149,3.964158531744033e-05
0,,199,5.113919178256765e-05
0,,249,6.725821003783494e-05
0,,299,4.148174775764346e-05
0,,349,2.4670645871083252e-05
0,,399,0.00011129412450827658
0,,449,2.7199652322451584e-05
0,,499,2.2259906472754665e-05
0,,549,2.0592011424014345e-05
0,,599,4.2237712477799505e-05
0,,649,5.7188630307791755e-05
0,,699,5.4210235248319805e-05
0,,749,4.500634895521216e-05
0,,799,4.3748765165219083e-05
0,,849,1.7839183783507906e-05
0,,899,4.531320519163273e-05
0,,949,5.209619484958239e-05
0,,999,3.2298416044795886e-05
0,,1049,5.0133261538576335e-05
