epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,3.744692730833776e-05,,,,,
0,,99,,3.337104863021523e-05,,,,,
0,,149,,1.90910304809222e-05,,,,,
0,,199,,4.2688225221354514e-05,,,,,
0,,249,,3.622388976509683e-05,,,,,
0,,299,,2.3823706214898266e-05,,,,,
0,,349,,4.822380651603453e-05,,,,,
0,,399,,3.7936653825454414e-05,,,,,
0,,449,,2.1060033759567887e-05,,,,,
0,,499,,4.897747203358449e-05,,,,,
0,,549,,3.0485380193567835e-05,,,,,
0,,599,,3.4253011108376086e-05,,,,,
0,,649,,2.622480496938806e-05,,,,,
0,,699,,1.3547999515139963e-05,,,,,
0,,749,,1.707484625512734e-05,,,,,
0,,799,,1.2438295016181655e-05,,,,,
0,,849,,1.747196256474126e-05,,,,,
0,,899,,3.7294201320037246e-05,,,,,
0,,949,,2.483678690623492e-05,,,,,
0,,999,,1.8882343283621594e-05,,,,,
0,,1049,,2.022931039391551e-05,,,,,
0,,1099,,2.4190474505303428e-05,,,,,
0,,1149,,1.7339891201118007e-05,,,,,
0,,1199,,1.9384791812626645e-05,,,,,
0,,1249,,1.537871139589697e-05,,,,,
0,,1299,,8.826982957543805e-05,,,,,
0,,1349,,1.1286811968602706e-05,,,,,
0,,1399,,2.3599166524945758e-05,,,,,
0,,1449,,7.412712147925049e-05,,,,,
0,,1499,,4.445425292942673e-05,,,,,
0,,1549,,1.4095075130171608e-05,,,,,
0,,1599,,2.300978303537704e-05,,,,,
0,,1649,,1.617579437152017e-05,,,,,
0,,1699,,3.180165367666632e-05,,,,,
0,,1749,,2.3357788450084627e-05,,,,,
0,,1799,,1.3382998076849617e-05,,,,,
0,,1849,,5.51198681932874e-05,,,,,
0,,1899,,8.565933239879087e-05,,,,,
0,,1949,,3.6338413337944075e-05,,,,,
0,,1999,,2.2061369236325845e-05,,,,,
0,,2049,,9.81608718575444e-06,,,,,
0,,2099,,2.247354859719053e-05,,,,,
0,,2149,,1.2945786693308037e-05,,,,,
0,,2199,,2.706354825932067e-05,,,,,
0,,2249,,1.678969601925928e-05,,,,,
0,,2299,,9.058253453986254e-06,,,,,
0,,2349,,2.6217881895718165e-05,,,,,
0,,2399,,9.28637291508494e-06,,,,,
0,,2449,,2.0604073142749257e-05,,,,,
0,,2499,,1.3393896551860962e-05,,,,,
0,,2549,,1.4200729310687166e-05,,,,,
0,,2599,,2.392362330283504e-05,,,,,
0,,2649,,1.8839677068172023e-05,,,,,
0,,2699,,1.030422299663769e-05,,,,,
0,,2749,,1.9663197235786356e-05,,,,,
0,,2799,,1.4880452908982988e-05,,,,,
0,,2849,,1.8357415683567524e-05,,,,,
0,,2899,,1.745265217323322e-05,,,,,
0,,2949,,1.976680869120173e-05,,,,,
0,,2999,,1.4927069969417062e-05,,,,,
0,,3049,,1.5350211469922215e-05,,,,,
0,,3099,,1.3788519936497323e-05,,,,,
0,,3149,,1.3336518350115512e-05,,,,,
0,,3199,,2.3168709958554246e-05,,,,,
0,,3249,,2.852069701475557e-05,,,,,
0,,3299,,2.428449624858331e-05,,,,,
0,,3349,,1.664307274040766e-05,,,,,
0,,3399,,2.2343796445056796e-05,,,,,
0,,3449,,1.2399279512465e-05,,,,,
0,,3499,,9.959617273125332e-06,,,,,
0,,3549,,4.279826498532202e-06,,,,,
0,,3599,,1.6604042684775777e-05,,,,,
0,,3649,,1.4324536095955409e-05,,,,,
0,,3699,,4.303775494918227e-05,,,,,
0,,3749,,1.5559628081973642e-05,,,,,
0,,3799,,2.0605913960025646e-05,,,,,
0,,3849,,1.5568972230539657e-05,,,,,
0,,3899,,1.8648075638338923e-05,,,,,
0,,3919,,,0.912132978439331,89908296.0,0.9390999674797058,2.0,0.0004383914638310671
0,,3919,2.861644134100061e-05,,,,,,
,0.001,3920,,,,,,,
1,,3949,,5.605570549960248e-05,,,,,
1,,3999,,1.5891422663116828e-05,,,,,
1,,4049,,1.8909659047494642e-05,,,,,
1,,4099,,1.3395637324720155e-05,,,,,
1,,4149,,1.2504855476436205e-05,,,,,
1,,4199,,1.2801910997950472e-05,,,,,
1,,4249,,1.6733491065679118e-05,,,,,
1,,4299,,2.5971497962018475e-05,,,,,
1,,4349,,4.392613118398003e-05,,,,,
1,,4399,,6.1374912547762506e-06,,,,,
1,,4449,,2.7431520720710978e-05,,,,,
1,,4499,,1.4898128029017244e-05,,,,,
1,,4549,,8.297807653434575e-06,,,,,
1,,4599,,1.1472764526843093e-05,,,,,
1,,4649,,1.3897375538363121e-05,,,,,
1,,4699,,1.3946772924100515e-05,,,,,
1,,4749,,8.29544023872586e-06,,,,,
1,,4799,,1.3479440895025618e-05,,,,,
1,,4849,,1.4540885786118452e-05,,,,,
1,,4899,,2.0316709196777083e-05,,,,,
1,,4949,,2.833722101058811e-05,,,,,
1,,4999,,5.587561645370442e-06,,,,,
1,,5049,,1.5607460227329284e-05,,,,,
1,,5099,,1.0036014828074258e-05,,,,,
1,,5149,,1.57638278324157e-05,,,,,
1,,5199,,1.1925028957193717e-05,,,,,
1,,5249,,9.119232345256023e-06,,,,,
1,,5299,,1.3455806765705347e-05,,,,,
1,,5349,,1.2873506420874037e-05,,,,,
1,,5399,,1.1059170901717152e-05,,,,,
1,,5449,,7.898405783635098e-06,,,,,
1,,5499,,1.3118333299644291e-05,,,,,
1,,5549,,1.4435526281886268e-05,,,,,
1,,5599,,2.6463218091521412e-05,,,,,
1,,5649,,1.7230318917427212e-05,,,,,
1,,5699,,2.4470518837915733e-05,,,,,
1,,5749,,1.6479008991154842e-05,,,,,
1,,5799,,1.121196874009911e-05,,,,,
1,,5849,,1.8266615370521322e-05,,,,,
1,,5899,,2.5394716431037523e-05,,,,,
1,,5949,,1.4538033610733692e-05,,,,,
1,,5999,,2.5273709979956038e-05,,,,,
1,,6049,,1.673851511441171e-05,,,,,
1,,6099,,6.442979793064296e-05,,,,,
1,,6149,,4.470013300306164e-05,,,,,
1,,6199,,1.1041306606784929e-05,,,,,
1,,6249,,2.942763239843771e-05,,,,,
1,,6299,,1.4241543794923928e-05,,,,,
1,,6349,,1.0642369488778058e-05,,,,,
1,,6399,,3.3974713005591184e-05,,,,,
1,,6449,,2.315159326826688e-05,,,,,
1,,6499,,1.2357249033811968e-05,,,,,
1,,6549,,2.2259660909185186e-05,,,,,
1,,6599,,8.990014976006933e-06,,,,,
1,,6649,,1.1011447895725723e-05,,,,,
1,,6699,,2.2662281480734237e-05,,,,,
1,,6749,,1.9467310266918503e-05,,,,,
1,,6799,,1.4965136870159768e-05,,,,,
1,,6849,,1.0953468517982401e-05,,,,,
1,,6899,,1.28439905893174e-05,,,,,
1,,6949,,1.3610327187052462e-05,,,,,
1,,6999,,1.6004629287635908e-05,,,,,
1,,7049,,4.787186480825767e-05,,,,,
1,,7099,,1.597598566149827e-05,,,,,
1,,7149,,1.735350269882474e-05,,,,,
1,,7199,,1.1003149666066747e-05,,,,,
1,,7249,,7.031452696537599e-06,,,,,
1,,7299,,2.197139838244766e-05,,,,,
1,,7349,,2.373519782850053e-05,,,,,
1,,7399,,3.1425624911207706e-05,,,,,
1,,7449,,1.1317182725179009e-05,,,,,
1,,7499,,6.874884547869442e-06,,,,,
1,,7549,,1.2383793546177913e-05,,,,,
1,,7599,,1.723870445857756e-05,,,,,
1,,7649,,1.9019351384486072e-05,,,,,
1,,7699,,2.5065861336770467e-05,,,,,
1,,7749,,1.6511763533344492e-05,,,,,
1,,7799,,4.7851435738266446e-06,,,,,
1,,7839,,,0.952538251876831,93897944.0,0.9887645840644836,2.0,0.0005496752564795315
1,,7839,1.875073394330684e-05,,,,,,
